"address","isb_town","isb_street","abonent_house","abonent_sub_house","latitude_speedtest","longitude_speedtest","kt_speedtest","beeline_speedtest","almatv_speedtest","kt_download_speed","kt_upload_speed","beeline_download_speed","beeline_upload_speed","almatv_download_speed","almatv_upload_speed"
"ц.юклюрш,яюъкш,юкюрюсяйхи п-м,41",Ц.юКЛЮРШ,"яюъкш,юкюрюсяйхи п-м",41.0,,43.307,76.841,1,1,1,159.14647368421052,155.5338596491228,78.68452173913045,80.6177391304348,51.397999999999996,47.94144444444445
"ц.юклюрш,яюъкш,юкюрюсяйхи п-м,37",Ц.юКЛЮРШ,"яюъкш,юкюрюсяйхи п-м",37.0,,43.307,76.841,1,1,1,159.14647368421052,155.5338596491228,78.68452173913045,80.6177391304348,51.397999999999996,47.94144444444445
"ц.юклюрш,яюъкш,юкюрюсяйхи п-м,13",Ц.юКЛЮРШ,"яюъкш,юкюрюсяйхи п-м",13.0,,43.31,76.84,1,,1,40.654,1.397,,,80.992,93.877
"ц.ьшлйемр,мспяюр,80",ц.ьшлйемр,мспяюр,80.0,,42.363,69.629,1,1,1,136.8951428571429,124.42938775510203,56.54203614457833,63.393120481927674,14.250499999999999,18.518
"ц.ьшлйемр,мспяюр,115",ц.ьшлйемр,мспяюр,115.0,,42.363,69.629,1,1,1,136.8951428571429,124.42938775510203,56.54203614457833,63.393120481927674,14.250499999999999,18.518
"ц.ьшлйемр,мспяюр,116",ц.ьшлйемр,мспяюр,116.0,,42.363,69.629,1,1,1,136.8951428571429,124.42938775510203,56.54203614457833,63.393120481927674,14.250499999999999,18.518
"ц.юклюрш,юимюаскюй 2,41",Ц.юКЛЮРШ,юимюаскюй 2,41.0,,43.314,76.912,1,1,1,178.44078124999996,176.81575,70.8016,72.1578,17.86488888888889,19.02088888888889
"ц.юклюрш,юимюаскюй 2,59",Ц.юКЛЮРШ,юимюаскюй 2,59.0,,43.316,76.914,1,1,1,218.75709756097555,210.74129268292683,48.282593220338995,49.948745762711866,24.605125,22.959375
"ц.юклюрш,юимюаскюй 2,66",Ц.юКЛЮРШ,юимюаскюй 2,66.0,,43.318,76.913,1,1,1,82.82753333333335,86.06073333333333,77.27475657894736,77.23035526315788,71.457,50.47
"ц.сярэ-йюлемнцнпяй,юкэ-тюпюах,26,2",ц.сярэ-йюлемнцнпяй,юкэ-тюпюах,26.0,"2",49.891,82.6,1,1,1,262.5013333333333,185.09733333333335,56.824,70.309,48.00371428571429,59.13828571428571
"ц.юклюрш,юимюаскюй 2,67",Ц.юКЛЮРШ,юимюаскюй 2,67.0,,43.319,76.914,1,1,1,120.106,119.56179999999999,66.50238461538461,70.27838461538462,59.8795,51.2685
"ц.юклюрш,юимюаскюй 3,156,ю",Ц.юКЛЮРШ,юимюаскюй 3,156.0,ю,43.328,76.92,1,1,1,188.7693565891473,185.34651162790698,71.48156,76.88952,28.297599999999996,24.55953333333333
"юярюмю,аюъмюсшк,71",юярюмю,аюъмюсшк,71.0,,51.165,71.439,1,1,1,131.03813888888888,126.15013888888888,38.26712,77.57315999999999,42.8215,40.257
"юярюмю,хлюмаюебни,11",юярюмю,хлюмаюебни,11.0,,51.166,71.434,1,,1,110.33138271604939,95.79966666666668,,,43.971,53.575
"юярюмю,бюкхуюмнбю,9,2",юярюмю,бюкхуюмнбю,9.0,"2",51.166,71.438,1,1,1,175.34361744966438,185.70646308724835,55.72190909090909,81.54281818181818,41.52333333333333,44.93266666666667
"ц.сярэ-йюлемнцнпяй,йнйфюк-аюпюй,2,1",ц.сярэ-йюлемнцнпяй,йнйфюк-аюпюй,2.0,"1",49.894,82.6,1,1,1,138.7577659574468,130.48868085106383,58.513148351648354,41.428467032967035,146.816,229.592
"юярюмю,яеитсккхмю,4,1",юярюмю,яеитсккхмю,4.0,"1",51.167,71.401,1,1,1,173.56793513513514,158.2214108108108,44.542571428571435,43.96102040816326,63.0105,195.4395
"юярюмю,пеяосакхйх,27",юярюмю,пеяосакхйх,27.0,,51.167,71.426,1,,1,134.30482857142857,124.90600000000002,,,77.63692307692307,38.575961538461534
"юярюмю,цюадсккхмю,19",юярюмю,цюадсккхмю,19.0,,51.167,71.431,1,,1,256.85212903225806,218.50868663594468,,,29.838500000000003,21.7095
"юярюмю,апсяхкнбяйнцн,18",юярюмю,апсяхкнбяйнцн,18.0,,51.167,71.461,1,1,1,147.65942857142858,168.21761904761908,59.19794444444444,55.54594444444445,30.119999999999997,37.39125
"юярюмю,нршпюп,3",юярюмю,нршпюп,3.0,,51.168,71.43,1,,1,166.61082608695656,162.68328260869566,,,52.569545454545455,49.01500000000001
"юярюмю,яеитсккхмю,18",юярюмю,яеитсккхмю,18.0,,51.169,71.411,1,1,1,119.73511111111111,120.01344444444446,39.06933333333333,48.43922222222222,31.745,43.967
"ц.юйрюс,14,47",ц.юйрюс,"14",47.0,,43.656,51.142,1,1,1,275.42455,230.04315000000003,82.3038,88.497,510.99012500000003,261.693875
"ц.юйрюс,14,41",ц.юйрюс,"14",41.0,,43.656,51.142,1,1,1,275.42455,230.04315000000003,82.3038,88.497,510.99012500000003,261.693875
"юярюмю,фемхя,20",юярюмю,фемхя,20.0,,51.17,71.413,1,1,1,101.64771999999999,97.50448,77.62191666666666,82.84791666666666,60.405,59.415
"юярюмю,фемхя,24",юярюмю,фемхя,24.0,,51.171,71.413,1,1,1,84.0975,98.03462499999999,72.58403333333334,79.47989999999999,38.0845,49.55525
"юярюмю,фемхя,24,1",юярюмю,фемхя,24.0,"1",51.171,71.414,1,1,1,370.89577777777777,305.17533333333336,56.67100000000001,81.47075,51.562,28.985
"юярюмю,фекрнйяюм,23",юярюмю,фекрнйяюм,23.0,,51.171,71.414,1,1,1,370.89577777777777,305.17533333333336,56.67100000000001,81.47075,51.562,28.985
"юярюмю,юаюъ,67",юярюмю,юаюъ,67.0,,51.171,71.444,1,,1,5.218045454545455,0.3263409090909091,,,30.098,45.021
"юярюмю,187,16,2",юярюмю,"187",16.0,"2",51.173,71.388,1,1,1,96.58266666666667,98.41533333333332,93.07136764705886,95.02692156862744,49.404666666666664,38.193000000000005
"юярюмю,юсщгнбю лсурюпю,22",юярюмю,юсщгнбю лсурюпю,22.0,,51.172,71.424,1,,1,141.62111764705884,148.61151960784312,,,55.8464,28.109799999999996
"юярюмю,юсщгнбю лсурюпю,19",юярюмю,юсщгнбю лсурюпю,19.0,,51.172,71.423,1,,1,144.7064852941176,144.40683823529412,,,54.98428571428571,44.83914285714286
"юярюмю,фекрнйяюм,18",юярюмю,фекрнйяюм,18.0,,51.17,71.416,1,1,1,86.75239344262293,87.9780491803279,89.468,92.007,24.843799999999998,23.8992
"юярюмю,яеитсккхмю,24",юярюмю,яеитсккхмю,24.0,,51.17,71.416,1,1,1,86.75239344262293,87.9780491803279,89.468,92.007,24.843799999999998,23.8992
"юярюмю,яреоюмю йсапхмю,22,1",юярюмю,яреоюмю йсапхмю,22.0,"1",51.17,71.404,1,1,1,111.66076153846151,90.10329230769229,65.94666798418972,68.43195652173912,148.42474999999996,181.8765
"юярюмю,яеитсккхмю,12",юярюмю,яеитсккхмю,12.0,,51.169,71.403,1,1,1,133.0135882352941,127.20070588235296,51.4609756097561,53.64748780487805,137.41954545454544,100.44018181818181
"юярюмю,ксх оюярепю,69",юярюмю,ксх оюярепю,69.0,,51.168,71.436,1,1,1,120.11502272727272,131.1273181818182,57.20366666666666,62.96433333333333,45.8555,45.114999999999995
"юярюмю,нршпюп,8,2",юярюмю,нршпюп,8.0,"2",51.168,71.436,1,1,1,120.11502272727272,131.1273181818182,57.20366666666666,62.96433333333333,45.8555,45.114999999999995
"юярюмю,ьюилепдем йняьшцскскш,3,1",юярюмю,ьюилепдем йняьшцскскш,3.0,"1",51.167,71.392,1,1,1,90.7919756097561,110.04946341463415,72.48912820512818,66.67966666666668,24.214,22.958083333333335
